"1","admin","admin123","1","2017-04-21 11:13:49",NULL
"1","1","2","1","2","4","2017-04-13 18:00:00","1"
"2","1","2","2","0","0","2017-05-04 00:00:00","0"
"3","3","4","1","0","0","2017-05-05 00:00:00","0"
"4","3","4","2","0","0","2017-05-04 00:00:00","0"
"5","1","4","1","0","0","2017-05-04 00:00:00","0"
"6","1","4","2","0","0","2017-05-04 00:00:00","0"
"7","2","3","1","0","0","2017-05-04 00:00:00","0"
"8","2","3","2","0","0","2017-05-04 00:00:00","0"
"9","1","3","1","0","0","2017-05-04 00:00:00","0"
"10","1","3","2","0","0","2017-05-04 00:00:00","0"
"11","2","4","1","0","0","2017-05-04 00:00:00","0"
"12","2","4","2","0","0","2017-05-04 00:00:00","0"
"1","d123456","1","Lasse","Schöne","0","2017-04-13 09:44:13",NULL
"2","d5435435","1","Davy ","Klaassen","0","2017-04-13 09:44:13",NULL
"3","d545454","1","Hakim ","Ziyech","0","2017-04-13 09:45:47",NULL
"4","d666555","1","Kasper","Dolberg","0","2017-04-13 09:45:47",NULL
"5","d74745","2","Luuk","de Jong","0","2017-04-13 09:48:23",NULL
"6","d987665","2","Siem","de Jong","0","2017-04-13 09:48:23",NULL
"7","d11555","2","Jeroen","Zoet","0","2017-04-13 09:48:23",NULL
"8","d544566","2","Hector","Moreno","0","2017-04-13 09:48:23",NULL
"23","d233407",NULL,"Youri","van der Sande","10","2017-05-02 14:30:33",NULL
"24","d228788",NULL,"Alex","Haverkamp","0","2017-05-02 14:31:07",NULL
"25","d167788",NULL,"Dave","van Oosterhout","0","2017-05-02 15:43:00",NULL
"26","d223344",NULL,"Bart","Roos","0","2017-05-02 16:26:48",NULL
"27","d181761",NULL,"Jurriaan","Roelen","0","2017-05-03 14:00:45",NULL
"28","d223013",NULL,"Dion","Rodie","0","2017-05-04 08:44:30",NULL
"1","A","2017-05-02 16:31:27",NULL
"2","B","2017-05-02 16:31:27",NULL
"3","C","2017-05-02 16:32:21",NULL
"4","D","2017-05-02 16:32:21",NULL
"1","2","Ajax","0","1","0","0","0","0","2017-04-13 09:42:45",NULL
"2","2","PSV","0","2","0","0","0","0","2017-04-13 09:42:45",NULL
"3","1","FC Twente","0","2","0","0","0","0","2017-05-01 16:22:55",NULL
"4","2","NEC","0","3","0","0","0","0","2017-05-02 13:56:57",NULL
"5","1","NAC","0","1","0","0","0","0","2017-05-02 13:57:03",NULL
"6","2","Sparta","0","4","0","0","0","0","2017-05-02 16:27:08",NULL
"7","1","Willem II","0","3","0","0","0","0","2017-05-03 13:44:24",NULL
"8","1","Vitesse","0","4","0","0","0","0","2017-05-04 11:55:20",NULL
